,text_no_tag,polarity,SO_PMI_score,SO_PMI_scaled,SO_PMI_sentiment
235076,"@USER i have a guinea pig too ! i do not even eat him ! will get a pic of ruffles , his bro rojo just passed . ( sam the cowdog )",0,22.492881010765068,-0.18491769705168604,0
1274244,@USER happy birthday,1,5.027200122604243,-0.7875310121177566,0
820212,"twitter fam wat up , had a great time shoppin i tried on this beautiful dress",1,19.97952684039008,-0.2716352260299848,0
1490408,"watching jimmy kimmel live ' s nba special , so funny .  tony awards tonight .  another evening of two tv ' s going ! ",1,35.584079071371285,0.26676410751145396,1
374153,bedd . wish i could curl up in someone specials arms,0,17.07180563252551,-0.3719594863654031,0
1420107,"s . h . i . t racing , @URL - you know you want to",1,4.784978810896673,-0.795888303686429,0
773411,@USER i am dying to see the rest ! but i have to wait for it to be put on the internet because for some reason i dont have hbo,0,24.8409248543133,-0.10390382226824046,0
1260692,"oh yeah , today is e3 , lots of exciting news regarding xbox  today . i think nintendo is tomorrow",1,29.239673040610782,0.04786490885992345,1
372793,@USER _xy @USER lol oh i was waiting on you guys to send me the documents but my outlook is messed up for some reason ily <('-')>,0,20.07166155712563,-0.2684563286574627,0
328385,my teeth hurt now i really should wear my retainer more . ,0,3.4217655280382724,-0.8429228556621411,0
1030559,ophelia decided to sleep w / me tonight . i love her .,1,12.363905957723265,-0.5343947815135102,0
442969,i do not want to go to this stupid meeting at publix tonight,0,12.367279656121504,-0.5342783797775106,0
1594362,"@USER @USER did you google the student , mr . real , too ?",1,8.712025118023432,-0.6603945654972835,0
1415794,"slept in . resting . reading . thinking i am ready to get up and leave the house now . hungry . still sniffles , but smiling .",1,24.11028709284835,-0.1291128047504122,0
303152,@USER i hope you feel better soon .,0,4.5556531648498835,-0.8038006598481404,0
912067,@USER awesome fortune cookie ! i think you really will go to exotic places . hope all is well ! ,1,20.218942461471606,-0.26337473839011616,0
840798,@USER fair enough,1,4.467584334668824,-0.8068392731177424,0
70626,i have got a thousand things goin thru my mind right now & no - one to talk to,0,15.901470471016165,-0.41233922053846894,0
1293550,feeling sad because my love is that far away in vienna . but tonight i am going to be happy again !,1,20.027092689041428,-0.26999407536868125,0
